L5,D5,L4,D4,L3,D3,L2,D2,L1,D1,X
2.521946867,0.040038047,2.561984914,-0.03180266,2.530182253,0.066040543,2.596222796,0.126439772,2.722662568,0.285765956,3.008428524
2.522487337,0.056866688,2.579354025,-0.040631138,2.538722887,-0.025911537,2.51281135,0.263298317,2.776109667,0.249499427,3.025609094
2.523344686,0.074478075,2.597822761,-0.050025802,2.547796959,-0.148506291,2.399290667,0.444190416,2.843481083,0.297153517,3.140634601
2.522294065,0.092681679,2.614975744,-0.040753535,2.574222209,-0.127566699,2.44665551,-0.083898189,2.362757321,-0.627226569,1.735530751
2.520720762,0.111633924,2.632354686,-0.023785032,2.608569654,-0.059196185,2.549373469,-0.896084674,1.653288795,-0.136953393,1.516335403
2.519568302,0.131380656,2.650948958,-0.00820606,2.642742898,-0.02868085,2.614062048,-0.357165486,2.256896562,0.60441404,2.861310602
2.518147941,0.151878972,2.670026913,0.01236486,2.682391772,0.023152741,2.705544514,0.548439832,3.253984346,-0.033290083,3.220694264
2.517889022,0.173339988,2.69122901,0.027929734,2.719158744,0.075627579,2.794786323,0.277557339,3.072343663,-0.329256827,2.743086836
2.518043316,0.195646959,2.713690275,0.043556707,2.757246982,0.134356822,2.891603803,-0.179015668,2.712588135,0.243660893,2.956249029
2.517873552,0.218696754,2.736570306,0.064555988,2.801126295,0.214825586,3.01595188,0.079214429,3.095166309,-0.160742312,2.934423997
2.517882525,0.242560984,2.760443509,0.087340185,2.847783694,0.307543254,3.155326948,0.429996613,3.585323561,-0.103007803,3.482315758
2.514976334,0.237987361,2.752963696,0.075930781,2.828894476,0.164806137,2.993700613,-0.003555056,2.990145557,0.27019887,3.260344427
2.510879194,0.221773823,2.732653016,0.051377399,2.784030416,-0.070074358,2.713956058,-0.651777389,2.06217867,-0.112788913,1.949389757
2.50709019,0.207635395,2.714725585,0.030188695,2.74491428,-0.28195051,2.462963769,-0.38979706,2.07316671,0.022276953,2.095443662
2.502565518,0.185914033,2.688479551,0.000651468,2.689131019,-0.552150165,2.136980853,0.0758218,2.212802653,-0.028172157,2.184630496
2.498818264,0.172079477,2.670897741,-0.017293913,2.653603828,-0.423348464,2.230255364,0.21349752,2.443752884,0.06519452,2.508947404
2.495089684,0.158267004,2.653356688,-0.033862942,2.619493747,-0.14966804,2.469825707,0.403442901,2.873268608,-0.208841443,2.664427165
2.490568492,0.136281355,2.626849847,-0.059547159,2.567302687,0.046617129,2.613919816,0.261179422,2.875099239,0.298863881,3.17396312
2.485801117,0.111663519,2.597464635,-0.087237434,2.510227202,0.320112954,2.830340155,-0.03266946,2.797670696,-0.491709155,2.305961541
2.48249336,0.098903742,2.581397102,-0.112097711,2.469299391,0.270717113,2.740016504,-0.153665912,2.586350592,0.578270687,3.164621279
2.479607373,0.089090606,2.568697979,-0.1376591,2.431038879,0.111918363,2.542957242,-0.307326477,2.235630765,-0.215596221,2.020034544
2.476397314,0.075976486,2.5523738,-0.165491552,2.386882247,0.046352473,2.433234721,-0.083928029,2.349306691,-0.03731746,2.311989231
2.473401567,0.064094286,2.537495852,-0.19431922,2.343176632,-0.065001564,2.278175068,0.302904394,2.581079462,-0.025471511,2.555607951
2.469581186,0.044394972,2.513976158,-0.228469513,2.285506644,-0.0530998,2.232406845,0.112176803,2.344583647,0.07205109,2.416634737
2.46547604,0.021597252,2.487073292,-0.265591422,2.22148187,-0.000337595,2.221144275,-0.207787082,2.013357194,0.041667549,2.055024743
2.461625724,0.000385587,2.462011311,-0.303532104,2.158479207,0.000452739,2.158931947,-0.175483468,1.983448479,-0.146393071,1.837055408
2.457663072,-0.022430919,2.435232152,-0.343777319,2.091454833,0.011328418,2.102783251,-0.11501035,1.987772901,-0.200132947,1.787639954
2.456423963,-0.033004904,2.423419059,-0.264613245,2.158805814,0.007584336,2.16639015,0.079442846,2.245832996,0.377476626,2.623309622
2.456318055,-0.038953832,2.417364223,-0.135807483,2.28155674,-0.003157557,2.278399183,0.381406203,2.659805385,0.424806069,3.084611454
2.455980458,-0.047079289,2.408901169,-0.014542271,2.394358898,-0.003242084,2.391116814,0.069214237,2.460331051,-0.914623542,1.545707509
2.456363705,-0.052667136,2.403696569,0.139421394,2.543117963,-0.003619275,2.539498688,-0.439731358,2.09976733,0.448532352,2.548299682
2.456057609,-0.062255723,2.393801886,0.26201177,2.655813656,0.012865744,2.6686794,-0.096852665,2.571826735,-0.095666497,2.476160238
2.455771462,-0.072587926,2.383183536,0.385777363,2.768960899,0.037516943,2.806477842,0.45124099,3.257718832,0.132002688,3.38972152
2.456259392,-0.080138075,2.376121317,0.544684157,2.920805474,0.061222845,2.982028319,0.106731416,3.088759735,-0.113374433,2.975385302
2.457013043,-0.087276572,2.369736472,0.715772058,3.08550853,0.090138836,3.175647366,-0.431212723,2.744434642,-0.156666946,2.587767696
2.456501648,-0.101967074,2.354534574,0.644777987,2.999312561,0.050639533,3.049952094,-0.10911357,2.940838524,0.319036439,3.259874963
2.455658466,-0.119383438,2.336275028,0.480208013,2.816483041,-0.015628868,2.800854173,0.393768379,3.194622552,-0.46672397,2.727898583
2.455151047,-0.136025952,2.319125096,0.33896444,2.658089536,-0.073561658,2.584527878,0.077007849,2.661535726,0.500543499,3.162079225
2.45449706,-0.154416246,2.300080813,0.138161351,2.438242165,-0.147736481,2.290505684,-0.412721584,1.8777841,-0.080449055,1.797335045
2.454633316,-0.169748823,2.284884493,0.018124332,2.303008825,-0.131267713,2.171741112,-0.077482828,2.094258284,-0.191155254,1.90310303
2.455072689,-0.18451744,2.270555249,-0.092987313,2.177567937,-0.082958927,2.09460901,0.440930618,2.535539627,0.371280308,2.906819935
2.455328935,-0.201220993,2.254107942,-0.269050075,1.985057867,-0.055305347,1.92975252,0.235121051,2.164873572,-0.426819048,1.738054524
2.455732983,-0.218159797,2.237573186,-0.460014536,1.77755865,-0.011921646,1.765637004,-0.105649905,1.659987099,-0.001006426,1.658980673
2.455078523,-0.209640927,2.245437596,-0.4320779,1.813359696,0.023696576,1.837056272,-0.115169404,1.721886868,0.304089428,2.025976296
2.454023541,-0.190605018,2.263418523,-0.324860221,1.938558302,0.061194785,1.999753086,-0.123674583,1.876078503,-0.393479302,1.482599202
2.453165743,-0.172925646,2.280240098,-0.243022645,2.037217453,0.115147001,2.152364454,-0.249132412,1.903232042,0.401754484,2.304986527
